Plant_ID,Common_Name_EN,Common_Name_FR,Arabic_Name,Amazigh_Name,Latin_Name,Family,Parts_Used,Preparation_Forms,Traditional_Uses,Culinary_Uses,Ritual_or_Domestic_Uses,Region_In_Morocco,Habitat,Seasonality,Market_Name_or_Form,Taste_Aroma_Profile,Substitutions_or_Confusions,Cautions,Sources_Notes,SVG_Filename
HERB_001,Spearmint,Menthe verte,نعناع (Naanaa),ⵍⵉⵇⴰⵎⴰ (Liqama),Mentha spicata,Lamiaceae,Leaves,Fresh; dried; infusion,Traditionally used in household practice for digestive comfort and general refreshment after meals,Essential in Moroccan mint tea; added fresh to salads and cooked dishes,Fresh bundles kept in homes for their scent and as a symbol of hospitality,Widespread; Marrakech plains; Fes; Meknes,Cultivated in gardens and farms; requires regular watering,Year-round; peak spring and summer,Fresh bundles; dried leaves,Cool; sweet; aromatic; slightly peppery,Often confused with peppermint (Mentha piperita) which is stronger,Generally considered safe in culinary amounts; concentrated preparations may cause discomfort in some individuals,Ubiquitous in Moroccan daily life; documented in North African ethnobotany,herb_001_spearmint.svg
HERB_002,Thyme,Thym,زعتر (Zaatar),ⴰⵣⵓⴽⵏⵉ (Azukni),Thymus vulgaris,Lamiaceae,Leaves; flowering tops,Dried; infusion; fumigation,Traditionally prepared as an infusion for respiratory and digestive comfort in winter months,Used in tagines; marinades; bread seasoning,Dried bundles burned for aromatic fumigation in households,High Atlas; Rif; Anti-Atlas; Oriental,Wild on rocky slopes and dry hillsides,Spring and summer harvest; available dried year-round,Dried bundles; loose dried leaves,Warm; pungent; slightly bitter; aromatic,Wild Moroccan thyme varies from cultivated European varieties; sometimes mixed with oregano,Avoid large quantities during pregnancy; may irritate sensitive skin in concentrated form,Widely gathered from wild slopes; common in Moroccan herbal shops,herb_002_thyme.svg
HERB_003,Rosemary,Romarin,أزير (Azir),ⴰⵣⵉⵔ (Azir),Salvia rosmarinus,Lamiaceae,Leaves; stems,Fresh; dried; infusion; oil,Used in traditional household practice for general invigoration and as a hair rinse,Flavors grilled meats; added to bread; used in marinades,Sprigs placed in cupboards and storage areas,High Atlas; Rif; Middle Atlas; coastal regions,Wild on dry hillsides; cultivated in gardens,Year-round; best spring harvest,Fresh sprigs; dried bundles; hydrosol,Piney; camphoraceous; slightly bitter,Sometimes confused with lavender at a distance; distinct when smelled,Avoid therapeutic doses during pregnancy; not for those with seizure disorders,Common wild plant in Moroccan mountains; widely used,herb_003_rosemary.svg
HERB_004,Sage,Sauge,سالمية (Salmiya),ⵜⴰⵙⴰⵍⵎⵉⵜ (Tasalmit),Salvia officinalis,Lamiaceae,Leaves,Dried; infusion,Traditionally used for oral care and as a household infusion for general comfort,Occasionally used in meat dishes,Infusion used as a mouth rinse,Middle Atlas; High Atlas; Rif,Dry rocky slopes; cultivated,Spring and summer,Dried leaves; sometimes bundled,Strongly aromatic; slightly bitter; warm,May be confused with other Salvia species,Avoid during pregnancy and breastfeeding; not for prolonged daily use,Documented in Mediterranean and North African herbal traditions,herb_004_sage.svg
HERB_005,Oregano,Origan,زعتر بلدي (Zaatar baldi),ⴰⵣⵓⴽⵏⵉ ⵏ ⵜⵎⴰⵣⵉⵖⵜ,Origanum vulgare,Lamiaceae,Leaves; flowering tops,Dried; infusion,Used traditionally for digestive comfort and as a warming preparation,Seasoning for meat; kefta; grilled vegetables,Dried bundles kept in kitchens,Rif; Middle Atlas; Oriental,Wild on hillsides; prefers limestone,Summer harvest,Dried loose or bundled,Warm; peppery; slightly bitter,Often sold interchangeably with thyme under zaatar name,Generally safe; avoid concentrated oil during pregnancy,Common in northern Morocco; overlaps with thyme usage,herb_005_oregano.svg
HERB_006,Chamomile,Camomille,بابونج (Babounej),ⵜⵉⴼⵉⵍⵜ (Tifilt),Matricaria chamomilla,Asteraceae,Flower heads,Dried; infusion,Widely used household infusion for calming and digestive ease; given to children,Occasionally in desserts,Hair rinse for lightening; eye compresses,Gharb; Doukkala; Chaouia plains,Fields and disturbed ground,Spring flowering; dried available year-round,Dried flower heads,Sweet; apple-like; slightly bitter,German vs Roman chamomile sometimes confused; effects similar,Rare allergies in those sensitive to Asteraceae family,One of the most common household infusions in Morocco,herb_006_chamomile.svg
HERB_007,Wormwood,Absinthe,شيبة (Shiba),ⵜⵉⵛⵉⴱⵜ (Tichibt),Artemisia absinthium,Asteraceae,Leaves; flowering tops,Dried; infusion (small amounts),Traditionally used in very small quantities for digestive bitters and as a vermifuge,Not culinary; extremely bitter,Bundles hung to repel insects,High Atlas; Middle Atlas; Anti-Atlas,Dry rocky areas; roadsides,Summer harvest,Dried bundles; loose dried herb,Intensely bitter; aromatic; pungent,Confused with other Artemisia species locally,STRONG CAUTION: Toxic in large doses; never during pregnancy; not for children; not for prolonged use; thujone content requires extreme moderation,Well-documented bitter herb; requires knowledgeable use,herb_007_wormwood.svg
HERB_008,Rue,Rue,فيجل (Fijel),ⴼⵉⵊⵍ (Fijl),Ruta graveolens,Rutaceae,Leaves,Fresh; dried; fumigation,Used traditionally in protective and cleansing household practices; rarely ingested,Not culinary,Burned or hung for household protection rituals; associated with warding,Widespread; urban and rural,Gardens; disturbed areas; cultivated,Year-round,Fresh sprigs; dried bundles,Strong; unpleasant; acrid,Sometimes confused with other bitter herbs,STRONG CAUTION: Toxic if ingested in quantity; causes severe skin photosensitivity; NEVER during pregnancy (abortifacient); handle with care,Used primarily for ritual purposes; ingestion strongly discouraged,herb_008_rue.svg
HERB_009,Fennel,Fenouil,نافع / بسباس (Nafaa / Besbas),ⴱⴻⵙⴱⴰⵙ (Besbas),Foeniculum vulgare,Apiaceae,Seeds; leaves; bulb,Seeds dried; infusion; fresh bulb,Seed infusion traditionally used for digestive comfort; associated with nursing mothers,Seeds in bread and pastries; bulb eaten raw or cooked,Given to new mothers; seeds chewed after meals,Gharb; Saïss; coastal plains,Fields; roadsides; cultivated,Seeds harvested late summer,Dried seeds (whole or ground),Sweet; anise-like; warm,Confused with anise seeds which are smaller,Generally safe; avoid concentrated preparations during pregnancy due to estrogenic compounds,Extremely common digestive herb in Moroccan households,herb_009_fennel.svg
HERB_010,Anise,Anis vert,حبة حلوة (Habba hlawa),ⵃⴰⴱⴱⴰ ⵜⴰⵣⴷⴷⴰⵏⵜ,Pimpinella anisum,Apiaceae,Seeds,Dried seeds; infusion,Used in traditional practice for digestive comfort and as a soothing preparation,Flavoring for cookies; breads; some beverages,Given to fussy infants (in very weak infusions by grandmothers),Fes-Meknes; Gharb; imported,Cultivated; often imported,Dried available year-round,Whole or ground seeds,Sweet; licorice-like; aromatic,Confused with fennel seeds; star anise is different plant entirely,Safe in culinary amounts; avoid therapeutic doses during pregnancy,Staple in Moroccan pantries and herbal shops,herb_010_anise.svg
